Outer fold,lr,ridge,knn,rf,svr
1,1.2268876266144684,1.9826371412866999,1.9621416870348585,2.160231469079182,1.2370244433674815
2,1.0350661194303217,1.1871378031910513,0.0,1.3261447884752253,0.7336368003630102
3,1.0190841219985927,1.135863263484905,1.3038404810405297,1.9103873952683,1.8242948885043802
4,2.9959814196946444,2.9958180697503005,2.23606797749979,2.0561177009111127,1.4218948975417016
5,2.5228465750397704,2.5921256746778023,2.692582403567252,3.139227612009043,3.1119170032575463
